"post_id","login_id","tier_list_id","ideal_run_id","category","title","content","genre","tag","view_count","is_pinned","status","created_days_ago"
"1","admin","","","NOTICE","BookMate 커뮤니티 이용 안내","책에 대한 감상과 추천을 자유롭게 나눠주세요. 서로의 취향을 존중하고 스포일러가 포함된 글은 제목에 표시해 주세요.","","공지","386","Y","ACTIVE","14"
"2","user4","","","FREE","요즘 자기 전에 읽기 좋은 책 있나요?","분량이 너무 길지 않고 편하게 읽을 수 있는 책을 찾고 있어요. 장르는 가리지 않으니 최근 재미있게 읽은 책을 추천해 주세요.","","잡담","94","N","ACTIVE","1"
"3","user7","","","FREE","종이책과 전자책 중 무엇을 더 자주 읽으세요?","저는 소설은 종이책으로 읽고 이동할 때는 전자책을 이용합니다. 다른 분들은 어떤 기준으로 고르는지 궁금해요.","","독서습관","73","N","ACTIVE","3"
"4","user10","","","FREE","올해 독서 목표 중간 점검","올해 서른 권을 목표로 시작했는데 벌써 절반을 넘겼습니다. 숫자보다 기억에 남는 책을 찾는 일이 더 중요하다는 생각도 드네요.","","독서기록","128","N","ACTIVE","5"
"5","user12","","","FREE","한 번 읽기 시작하면 멈출 수 없었던 책","주말에 가볍게 펼쳤다가 새벽까지 읽은 경험이 있으신가요? 몰입감이 좋았던 책을 함께 이야기해 보고 싶습니다.","","잡담","156","N","ACTIVE","7"
"6","user16","","","REVIEW","오래 남는 문장이 많은 소설 후기","사건이 빠르게 이어지는 작품은 아니지만 인물의 감정이 차분하게 쌓입니다. 읽고 난 뒤에도 여러 문장이 계속 생각났어요.","판타지","소설후기","211","N","ACTIVE","2"
"7","user21","","","REVIEW","결말까지 긴장을 놓기 어려웠던 추리소설","단서가 자연스럽게 배치되어 있어 범인을 예상하는 재미가 컸습니다. 결말의 반전도 억지스럽지 않아 만족스러웠어요.","추리","추리후기","302","N","ACTIVE","4"
"8","user28","","","REVIEW","과학을 어렵지 않게 풀어낸 책","복잡한 개념을 일상의 사례로 설명해서 부담 없이 읽었습니다. 과학 분야에 익숙하지 않은 독자에게도 좋은 입문서 같아요.","과학","과학후기","187","N","ACTIVE","6"
"9","user35","","","RECOMMEND","처음 읽는 SF라면 이 책들부터 추천합니다","설정 설명이 과하지 않고 이야기 자체가 재미있는 작품부터 시작하면 좋습니다. 인물 중심의 SF를 좋아한다면 선택지가 더 많아요.","SF","입문추천","264","N","ACTIVE","8"
"10","user42","","","RECOMMEND","비 오는 날 읽기 좋은 책 추천","조용한 분위기와 섬세한 문장이 있는 책들을 골라 봤습니다. 따뜻한 음료와 함께 천천히 읽기 좋아요.","","상황별추천","142","N","ACTIVE","10"
"11","user48","","","FREE","히가시노 게이고 작품은 무엇부터 읽을까요?","대표작이 많아서 시작점을 고르기 어렵네요. 반전이 강한 작품과 인물 묘사가 좋은 작품을 각각 추천받고 싶습니다.","추리","작가이야기","319","N","ACTIVE","9"
"12","user53","","","FREE","한 작가의 작품을 연달아 읽는 재미","비슷한 주제도 작품마다 다르게 변주되는 점이 재미있습니다. 최근에는 좋아하는 작가의 초기작부터 순서대로 읽고 있어요.","","작가이야기","101","N","ACTIVE","12"
"13","user1","1","","TIER","SF 입문 명작 결과","입문자에게 먼저 권하고 싶은 작품을 위쪽 티어에 배치했습니다. 읽기 편한 정도와 이야기의 재미를 중심으로 골랐어요.","SF","티어리스트","347","N","ACTIVE","1"
"14","user2","6","","TIER","SF 입문 명작 결과","세계관의 참신함과 다시 읽고 싶은 정도를 기준으로 나눠 봤습니다. 예상보다 고민되는 작품이 많았어요.","SF","티어리스트","229","N","ACTIVE","6"
"15","user1","","1","WORLDCUP","판타지 최강자 월드컵 결과","마지막까지 두 작품 사이에서 고민했습니다. 결국 가장 몰입해서 읽었던 책을 우승으로 선택했어요.","판타지","이상형월드컵","418","N","ACTIVE","2"
"16","user2","","7","WORLDCUP","BookMate 인생책 월드컵 결과","장르가 달라 비교하기 어려웠지만 다시 한 권만 읽는다면 무엇을 고를지 생각하며 선택했습니다.","","이상형월드컵","361","N","ACTIVE","5"
