"comment_id","post_id","login_id","parent_comment_id","content","created_days_ago"
"1","2","user8","","저도 자기 전에 읽을 짧은 소설을 찾고 있었어요. 추천 목록이 궁금합니다.","0"
"2","2","user19","1","최근에는 단편집을 한 편씩 읽는 방식이 부담 없어서 좋았습니다.","0"
"3","2","user34","","분량보다 문장이 편안한 책을 고르면 장편도 생각보다 잘 읽히더라고요.","1"
"4","3","user12","","종이책을 더 좋아하지만 이동할 때는 전자책이 확실히 편합니다.","0"
"5","3","user27","4","저도 상황에 따라 둘 다 쓰는 편입니다.","0"
"6","3","user51","","전자책으로 미리 읽고 마음에 들면 종이책을 사기도 해요.","1"
"7","4","user16","","추리소설은 결말이 궁금해서 밤을 새우게 되는 경우가 많아요.","0"
"8","4","user43","","몰입감이 좋은 책은 페이지 수가 많아도 금방 읽히는 것 같습니다.","1"
"9","5","user7","","문장에 표시해 둔 부분을 다시 읽는 재미가 있는 책이 오래 남았습니다.","0"
"10","5","user22","9","시간이 지나고 다시 읽으면 전혀 다른 문장이 눈에 들어오기도 하죠.","0"
"11","5","user60","","등장인물의 감정이 자연스러운 소설을 오래 기억하는 편입니다.","1"
"12","6","user30","","첫 장의 분위기가 좋으면 끝까지 읽게 되는 것 같아요.","0"
"13","7","user14","","결말을 알고 다시 읽어도 복선이 보여서 재미있는 작품이 좋습니다.","1"
"14","7","user48","13","복선이 억지스럽지 않은 작품은 두 번째 독서가 더 재미있어요.","0"
"15","8","user25","","결과를 보니 제가 고른 티어와 꽤 비슷해서 신기합니다.","0"
"16","9","user37","","입문작부터 차근차근 읽어봐야겠네요. 추천 감사합니다.","1"
"17","9","user71","16","설정 설명이 짧은 작품부터 시작하면 훨씬 편하게 읽힙니다.","0"
"18","10","user11","","비 오는 날에는 잔잔한 소설이나 에세이가 잘 어울리는 것 같아요.","0"
"19","11","user24","","반전이 강한 작품부터 읽고 싶다면 용의자 X의 헌신을 추천합니다.","1"
"20","11","user54","19","인물 중심 작품을 좋아한다면 나미야 잡화점의 기적도 좋았습니다.","0"
"21","12","user31","","작품을 출간 순서대로 읽으면 작가의 변화가 보여서 재미있죠.","1"
"22","13","user9","","상위권 책들은 역시 많은 사람이 좋아하는 이유가 있는 것 같습니다.","0"
"23","13","user46","22","저는 중간 티어에 의외의 책이 많아서 더 흥미로웠어요.","0"
"24","14","user18","","설명이 어렵지 않으면서 내용이 정확한 과학책을 찾고 있었어요.","1"
"25","15","user5","","결승 대진이 정말 고민되는 조합이네요.","0"
"26","15","user29","25","저는 반대쪽 책을 골랐는데 결과를 보니 다시 참여하고 싶습니다.","0"
"27","15","user67","","전체 통계와 제 선택을 비교해 보는 재미가 있네요.","1"
"28","16","user40","","가볍게 시작해서 매일 읽는 시간을 고정하는 방법이 가장 효과적이었습니다.","1"
